Word,Furigana,Definition,Japanese sentence,English translation
備える,そなえる,"provide for, furnish",災害に備えて大量の水を買い込んだ。,I bought large quantities of water to prepare for disasters.
意図,いと,"intention, aim",あなたの意図はよく分かりました。,I understood your intention well.
控える,ひかえる,"hold back, show moderation",最近甘いものを控えています。,I'm refraining from eating sweets these days.
筋肉,きんにく,"muscle, sinews",彼は最近筋肉を鍛えているよ。,He has been building up his muscles recently.
騙す,だます,"deceive, cheat",人を騙してはいけません。,You shouldn't cheat people.
犠牲,ぎせい,sacrifice,多くの人が災害の犠牲になったの。,A lot of people lost their lives in the disaster.
いよいよ,いよいよ,"finally, any moment",明日はいよいよ出発の日です。,At last we will set off tomorrow.
戦場,せんじょう,"battlefield, front",祖父は戦場に行ったことがあるそうです。,I've heard that my grandfather has been to the battlefield.
用事,ようじ,"things to do, errand, business",父は用事で出掛けています。,My father is out running errands.
真っ直ぐ,まっすぐ,"dead straight, honestly",この道を真っ直ぐ行ってください。,Please go straight along this road.
小,しょう,"smallness, small size",この箱の小をください。,Please give me the small version of this box.
捕まる,つかまる,"be caught, be arrested",彼女はついに捕まりました。,She was finally caught.
つかまる,つかまる,"grip, grab",しっかりとつかまっていてください。,Now hold on tight.
休憩,きゅうけい,"rest, repose",少し休憩しましょう。,Let's take a break.
後悔,こうかい,regret,後悔しても、しょうがない。,There is no point in regretting the past.
記録,きろく,"record, documentation",マラソンで世界記録が出た。,There was a new world record in the marathon.
刻む,きざむ,cut fine,玉ねぎを細かく刻んでください。,Please chop the onion finely.
一層,いっそう,"more, even more",雨が一層激しくなったね。,The rain got even heavier.
可哀相,かわいそう,"poor, pitiable",その可哀相な子供たちは食べるものがない。,Those poor children have nothing to eat.
移る,うつる,"move, shift",彼女は新しい会社に移った。,She moved to a new company.
折れる,おれる,"snap, be folded, give in",強風で木の枝が折れた。,The tree branch broke in the strong wind.
日常,にちじょう,"daily, everyday",音楽は私の日常の一部です。,Music is a part of my daily life.
うつむく,うつむく,face downward,彼はうつむいて何かを考えているね。,He is thinking of something with his head down.
強引,ごういん,"overbearing, coercive",友人の強引な誘いを断れませんでした。,I was not able to decline my friend's persistent invitation.
拭く,ふく,"wipe, dry",タオルで体を拭きました。,I dried myself with a towel.
安定,あんてい,"stability, composure",彼は精神の安定が必要よ。,He needs mental stability.
下着,したぎ,underwear,私は下着を手で洗う。,I wash my underwear by hand.
計算,けいさん,calculation,その計算は間違っている。,That calculation is wrong.
そっち,そっち,"there, thou",そっちが私の部屋です。,That's my room over there.
巻く,まく,"roll up, wind, wrap",彼は頭にタオルを巻いていた。,He had a towel tied around his head.
囁く,ささやく,whisper,「この会議は退屈だ」と同僚が私に囁いたの。,"My colleague whispered to me, ""this meeting is boring."""
砂,すな,"sand, grit",靴に砂が入ってしまった。,Sand has got into my shoes.
皮,かわ,"peel, fur",りんごの皮をむきましたよ。,I peeled an apple.
勇気,ゆうき,"courage, nerve",彼は勇気があるね。,He's courageous.
奥様,おくさま,"married woman, someone's wife",社長の奥様はきれいな方です。,The president's wife is a beautiful woman.
傷付ける,きずつける,"wound, hurt",あなたを傷付けるつもりはありませんでした。,I didn't intend to hurt you.
指導,しどう,"guide, lead",彼は生徒の指導が上手ね。,He's good at instructing the students.
無意識,むいしき,"unconsciously, without thinking",私は無意識に彼を傷つけてしまった。,"Unintentionally, I ended up hurting him."
初め,はじめ,beginning,初めは上手くできませんでした。,I couldn't do it well at first.
染める,そめる,"dye, color",髪を赤に染めてみた。,I tried dyeing my hair red.
本日,ほんじつ,today,本日のランチはハンバーグでございます。,The lunch of the day is hamburger steak.
要する,ようする,"require, need",このビルは完成までに2年を要した。,The building needed two years to be completed.
保護,ほご,"protection, safeguard",みんなで環境を保護しましょう。,Let's all protect the environment.
歴史的,れきしてき,historical,今日は歴史的な日です。,It's a historical day today.
明確,めいかく,"clear, precise",彼女には明確な目標があるね。,She has a clear aim.
観察,かんさつ,"observation, supervision",花の成長を観察して日記を書きなさい。,Observe the growth of the flower and record it in your diary.
川,かわ,"river, stream",小さな川を渡りました。,I crossed a stream.
役目,やくめ,"duty, role",私は無事に役目を終えたよ。,I completed the duties without incident.
なるべく,なるべく,"as...as possible, if possible",なるべく早く仕事を終わらせてください。,Please complete your work as early as possible.
通じる,つうじる,"pass, communicate with",その国では英語は通じますか。,Do they speak English in that country?
泳ぐ,およぐ,swim,彼女はダイエットのために泳いでいる。,She swims to lose weight.
危機,きき,"crisis, emergency",地球環境の危機が叫ばれているのよ。,There's an outcry over a world-wide environmental crisis.
大声,おおごえ,loud voice,私たちは大声で歌を歌ったの。,We sang loudly.
慎重,しんちょう,"prudence, discretion",もう一度慎重に見直しましょう。,Let's carefully review it again.
たまたま,たまたま,"by chance, accidentally",道でたまたま友達に会った。,I met a friend in the street by chance.
やたらに,やたらに,"frequently, persistently",彼はやたらに話しかけてきた。,He persistently tried to talk to me.
食べ物,たべもの,food,日本の食べ物はとても美味しいです。,Japanese food is very delicious.
巡る,めぐる,"go round, circulate",明日から温泉を巡る旅に出ます。,I'm going on a tour of hot springs tomorrow.
運,うん,"fortune, fate",彼は運のいい男です。,He is a lucky man.
羨ましい,うらやましい,"envious, envy",彼の才能は羨ましい程だね。,I almost envy his talent.
暴れる,あばれる,"act violently, rage about",彼は悪酔いして暴れたんだ。,He was so drunk that he became violent.
四日,よっか,"four days, 4th of the month",新学期は来月の四日からです。,The new school term starts on the fourth of next month.
主張,しゅちょう,"insistence, assertion",上司は私の主張を受け入れた。,My boss accepted my argument.
握り締める,にぎりしめる,"squeeze, grip",彼は両手を握り締めたの。,He clenched his fists.
今夜,こんや,"tonight, this evening",今夜は月がとてもきれいです。,The moon is very beautiful tonight.
終了,しゅうりょう,"end, expiry",コンサートは夜7時5分に終了しました。,The concert ended at 7:05 pm.
きっかけ,きっかけ,"chance, opportunity",大学に通うのが上京のきっかけでした。,The reason I came to Tokyo was to go to university.
譲る,ゆずる,"transfer, concede",上司が車を譲ってくれたの。,My boss gave me his car.
無論,むろん,"of course, no doubt",ぼくは無論きみに賛成だ。,"Of course, I agree with you."
ぼんやり,ぼんやり,"vaguely, absent-mindedly",彼は遠くをぼんやり見ていたの。,He stared vacantly into the distance.
上手,じょうず,"good, skilled",妹は歌が上手です。,My little sister can sing.
蹴る,ける,kick,ゴールキーパーがボールを蹴った。,The goalkeeper kicked the ball.
以来,いらい,since,それ以来彼女に会ってない。,I haven't met her since then.
大学生,だいがくせい,university student,姉は大学生です。,My big sister's a college student.
見下ろす,みおろす,"look down, overlook",山の頂上からふもとを見下ろしたの。,I looked down on the foothills from the top of the mountain.
燃える,もえる,"burn, undergo combustion",山が燃えています。,The mountain's on fire.
渇く,かわく,be thirsty,喉が渇きました。,I'm thirsty.
乾く,かわく,"dry, run dry",夏は洗濯物がすぐ乾く。,Laundry dries quickly in summer.
接する,せっする,"come in contact, adjoin",子供が動物に接するのは良いことです。,It is good for children to have contact with animals.
引きずる,ひきずる,"drag along, trail",彼はまだ失恋を引きずっています。,He's still dragging along the emotional baggage of a romantic breakup.
純粋,じゅんすい,"pure, unmixed",子供の純粋な心を傷付けてはいけません。,You shouldn't hurt children's pure hearts.
追い付く,おいつく,"overtake, catch up with",駅でようやく彼に追い付きました。,I finally caught up with him at the station.
大学,だいがく,"university, college",大学に行ってもっと勉強したいです。,I want to go to college and study more.
泊まる,とまる,stay overnight,今日はこのホテルに泊まります。,I'm staying at this hotel today.
線,せん,line,赤い線を2本引いて下さい。,Please draw two red lines.
招く,まねく,"invite, beckon, engage",両親を食事に招いた。,I invited my parents to a meal.
訴える,うったえる,sue,彼女は会社を訴えた。,She sued the company.
要求,ようきゅう,"requirement, demand",彼は私の要求にこたえた。,He answered my demands.
情けない,なさけない,"pitiful, shameful",こんなことも知らないとは情けない。,It's pretty sad you don't even know something like that.
台,だい,"stand, platform",そこにちょうど良い台がある。,There's a table that's just right.
内側,うちがわ,"inside, interior",白線の内側に下がってください。,Please step back behind the white line.
負担,ふたん,"burden, charge",交通費は個人負担です。,Transportation costs are covered by the individual.
応援,おうえん,"support, cheering",大勢が応援に駆けつけてくれたよ。,Many people came to cheer us on.
現象,げんしょう,phenomenon,村では最近、不思議な現象が起きています。,A mysterious phenomenon occurred in the village recently.
担当,たんとう,person in charge,私はセールスを担当しています。,I'm in charge of sales.
狂う,くるう,"become insane, get out of order",この時計はすぐ狂うの。,This clock often gets out of whack.
靴,くつ,"shoes, boots",靴が汚れた。,My shoes got dirty.
正解,せいかい,"right answer, correct solution",10問中9問正解しました。,Nine out of ten questions were answered correctly.
参考,さんこう,"reference, consultation",この本を参考にして下さい。,Please refer to this book.
決意,けつい,"resolution, determination",彼の決意は堅いな。,His decision is firm.
割る,わる,"divide, crack, split",皿を落として割った。,I dropped the plate and broke it.
同意,どうい,"consent, approval",彼の意見には同意できません。,I can't agree with his opinion.
王様,おうさま,king,その国の王様はとても賢い。,That country's king is very wise.
恋愛,れんあい,love,彼女は恋愛にあこがれる年ごろです。,She's at that age when girls yearn for romance.
登場,とうじょう,"appearance on stage, appearance",彼女の登場で会場は盛り上がったね。,The audience got excited as she appeared.
根,ね,"root, source",この木の根はとても太いな。,The roots of this tree are very thick.
相当,そうとう,"correspondence, suitability",1ポンドは454グラムに相当します。,One pound is equivalent to 454 grams.
油断,ゆだん,"inattention, carelessness",少しの油断が大きな事故につながります。,A little carelessness can cause a big accident.
注文,ちゅうもん,"order, request",レストランでピザを注文しました。,I ordered pizza at the restaurant.
好み,このみ,"taste, preference",姉と私は服の好みが似ています。,My elder sister and I have the same taste in clothes.
男女,だんじょ,"men and women, both sexes",そのスポーツは男女一緒にします。,Men and women play that sport together.
塞ぐ,ふさぐ,"close, shut",あまりにうるさかったので耳を塞いだわ。,I blocked my ears as it was too noisy.
溶ける,とける,"be dissolved, be melted",暑さでアイスクリームが溶けてしまった。,The ice cream melted in the heat.
体調,たいちょう,health condition,今日は体調が悪いです。,I feel sick today.
着替える,きがえる,change clothes,彼はきれいな服に着替えた。,He changed into clean clothes.
いい加減,いいかげん,"irresponsible, half-baked",いい加減なことを言ってはいけません。,You shouldn't say thoughtless things.
滑る,すべる,"slide, slip, flunk an examination",彼は雪の上を滑った。,He slipped on the snow.
生き物,いきもの,living creature,生き物を大切にしましょう。,Let's care about living things.
世間,せけん,"world, the public",世間の反応は冷たかったよ。,The reaction of the public was cold.
食堂,しょくどう,"dining hall, restaurant",大学の食堂は安い。,The university cafeteria is cheap.
使い,つかい,errand,主人の使いで市役所に行くところです。,I'm about to go to city hall on an errand for my husband.
広さ,ひろさ,"area, extent",その家の広さはどれ位ですか。,How big is that house?
機械,きかい,machine,新しい機械が壊れた。,The new machine broke.
証明,しょうめい,"proof, evidence",容疑者のアリバイが証明されました。,The suspect's alibi was proven.
両方,りょうほう,both,チョコレートとケーキを両方ください。,"I'll have both the chocolate and the cake, please."
盛り上がる,もりあがる,"become lively, get fired up",昨夜のパーティはとても盛り上がったな。,Last night's party was very lively.
角,かど,"corner, edge, angle",次の角で左に曲がってください。,Please turn left at the next corner.
体験,たいけん,experience,今日、珍しい体験をしました。,"Today, I had an unusual experience."
筋,すじ,muscle,転んで筋を痛めてしまいました。,I fell down and damaged my tendon.
寮,りょう,"dormitory, lodging house",彼は会社の寮に住んでいます。,He lives in the company dormitory.
覚める,さめる,"awake, wake up",今朝は6時に目が覚めた。,I woke up at six o'clock this morning.
言い訳,いいわけ,"apology, excuse",あなたは言い訳が多すぎます。,You give too many excuses.
夕方,ゆうがた,evening,夕方そちらに着きます。,I'll arrive there in the evening.
波,なみ,"wave, fluctuations",今日の海は波が穏やかです。,Waves are calm on the sea today.
世の中,よのなか,"the world, society",世の中にはいろいろな人がいます。,There are many different people in the world.
どうにか,どうにか,somehow,どうにか締め切りに間に合った。,I managed somehow to meet the deadline.
理想,りそう,ideal,彼は高い理想を持っているの。,He has high ideals.
止む,やむ,"stop, abate",雨が止みました。,The rain stopped.
釣る,つる,"angle, fish",昨日大きな魚を釣りました。,I caught a big fish yesterday.
餌,えさ,"bait, feed",毎日金魚に餌をやります。,I feed the goldfish everyday.
維持,いじ,"maintenance, upkeep",彼女は何とか健康を維持しているわね。,"Somehow, she manages to keep healthy."
ぶつける,ぶつける,bump,車を壁にぶつけてしまいました。,The car hit the wall.
人類,じんるい,"mankind, humankind",人類は2本の足で歩きます。,Humans walk on two feet.
数える,かぞえる,"count, calculate",いすの数を数えてください。,Please count the number of chairs.
真ん中,まんなか,"center, middle",道の真ん中に人が立っている。,Someone is standing in the middle of the road.
段,だん,"step, grade",この階段は18段ありますね。,There are 18 steps in this staircase.
鏡,かがみ,mirror,彼女は鏡を見て髪を直した。,She looked in the mirror and tidied her hair.
覚ます,さます,"awaken, wake up",子供が目を覚ました。,The child woke up.
場面,ばめん,"scene, situation",ここがいちばん面白い場面です。,This is the most interesting place.
眠い,ねむい,sleepy,今日はとても眠いです。,I'm very sleepy today.
果たして,はたして,"as was expected, really",果たして彼は現れるだろうか。,Will he really show up in the end?
引っ掛かる,ひっかかる,"be caught, be trapped",魚の骨がのどに引っ掛かった。,A fish bone got caught in my throat.
円,えん,yen,カレーライスは700円です。,The curry and rice is 700 yen.
鞄,かばん,"bag, handbag, briefcase",その黒い鞄は僕のです。,The black briefcase is mine.
整う,ととのう,"be in order, be adjusted",パーティーの準備が整いました。,The preparations for the party are all in order.
感動,かんどう,"emotion, impression",感動する映画でした。,It was a moving film.
指摘,してき,"identification, pointing out",ご指摘いただきありがとうございます。,Thank you very much for pointing it out.
混じる,まじる,"be blended, get mixed",電話の声に雑音が混じっていたの。,The voice on the phone was mixed with background noise.
段々,だんだん,"gradually, one after another",段々仕事が楽しくなってきました。,My work has gradually become more enjoyable.
景色,けしき,"scenery, landscape",ここは景色がきれいですね。,The scenery here is beautiful.
届ける,とどける,"deliver, give notice",これを彼に届けてください。,Please send this to him.
見渡す,みわたす,look out over,丘の上から草原を見渡したの。,I looked over the meadow from the top of the hill.
照らす,てらす,"illuminate, shine on",月が庭を照らしている。,The moon is shining on the garden.
美人,びじん,beautiful woman,彼のお母さんは美人です。,His mother's a beautiful woman.
誕生,たんじょう,birth,先月、娘が誕生しました。,My daughter was born last month.
地獄,じごく,"hell, inferno",地震の後、街は地獄のようだったよ。,"After the earthquake, the town looked like hell."
高まる,たかまる,"rise, increase",その計画に対する反対の声が高まっているわ。,Opposition to the plan is increasing.
鍋,なべ,"pan, saucepan",鍋にスープが入っているよ。,There's some soup in the pan.
弁当,べんとう,"box lunch, picnic lunch",今日は弁当を持ってきました。,I brought a lunch box today.
話し合う,はなしあう,"discuss, talk over",私たちはよく話し合いました。,We often talked to each other.
導く,みちびく,"guide, lead",先生は私たちを導いてくれます。,The teacher guides us.
注目,ちゅうもく,"attention, notice",私たちはその会社に注目している。,We have our eyes on that company.
裸,はだか,"naked body, bareness",彼らは裸のつきあいをしているよ。,They have an open relationship with each other.
字,じ,"character, letter",もっと大きく字を書いてください。,Please write the letters larger.
神経,しんけい,"sensitivity, nerves",彼は神経が細かいですね。,He is very sensitive.
煙,けむり,"smoke, fumes",煙突から煙がまっすぐ上っていたの。,Smoke was rising straight up from the chimney.
立ち止まる,たちどまる,"stop, halt",人々は立ち止まって上を見上げたの。,People stopped in their tracks and looked up.
最強,さいきょう,strongest,彼は最強チームの一員です。,He is a member of the strongest team.
ごみ,ごみ,"rubbish, trash",今日はごみの日だ。,Today is garbage day.
反省,はんせい,"reflection, repentance",彼は十分反省しています。,He has repented enough.
偶然,ぐうぜん,"chance, accident",街で偶然友人に会いました。,I met a friend by chance downtown.
騒ぎ,さわぎ,"clamor, commotion",一体何の騒ぎですか。,What on earth is the commotion?
画面,がめん,screen,テレビの画面が明るすぎる。,The TV screen is too bright.
無関係,むかんけい,"irrelevant, unrelated",彼はこの事件と無関係です。,He has nothing to do with this incident.
最終,さいしゅう,"last, final",東京行きの最終電車は何時ですか。,What time is the last train for Tokyo?
夢中,むちゅう,be absorbed,うちの子はその本に夢中です。,Our child is fascinated by that book.
説得,せっとく,persuasion,なんとか親を説得してみるよ。,I will try my best to persuade my parents.
自慢,じまん,showing off,彼女はよく自分の成績を自慢するよね。,She often boasts about her results.
健康,けんこう,healthy,私は健康な生活を送っています。,I'm living a healthy lifestyle.
回転,かいてん,"revolution, rotation",彼はボールに回転を掛けたんだ。,He put a spin on the ball.
伝説,でんせつ,"legend, folk tale",彼は数々の伝説を残しました。,He left behind a lot of legends.
ごちそう,ごちそう,"feast, treat",テーブルの上にごちそうが並んでいる。,There are some delicious treats lined up on the table.
塔,とう,"tower, pagoda",あの塔の高さはどれくらいですか。,How tall is that tower?
履く,はく,"put on footwear, wear",彼女はブーツを履いています。,She's wearing boots.
絞る,しぼる,"wring out, squeeze",布をもっと固く絞りなさい。,Squeeze the cloth harder.
攻める,せめる,"attack, take the offensive",彼は積極的に攻めたが勝てなかったな。,He didn't win although he put up a good attack.
嫁,よめ,"bride, daughter-in-law",姉が嫁に行ったの。,My big sister got married.
強烈,きょうれつ,"intense, severe",彼女は強烈な個性の持ち主ですよ。,She has a very strong personality.
眼鏡,めがね,"glasses, judgment",彼は眼鏡をかけています。,He's wearing glasses.
太い,ふとい,"thick, fat",彼女は足が太い。,She has fat legs.
実感,じっかん,"true sense, realization",子供が歩き始めたとき、子供の成長を実感した。,I got a real sense of my kid's growth when he started walking.
派手,はで,"showy, flashy",雪道で派手に転んでしまったの。,I slipped spectacularly on the snowy road.
傾ける,かたむける,"lean, cock (one's head)",彼女は首を少し傾けて笑うの。,She cocks her head slightly to the side when she smiles.
柔らか,やわらか,"soft, tender, gentle",彼の声は柔らかだ。,His voice is gentle.
咲く,さく,"bloom, blossom",桜の花が咲きました。,The cherry blossoms have bloomed.
ふざける,ふざける,"mess around, fool around",ふざけるのは止めて。,Stop messing around.
顔色,かおいろ,"complexion, countenance",彼は顔色がよくありませんね。,His face looks pale.
飯,めし,"cooked rice, meal",今朝は飯を食べたかい。,Did you have a meal this morning?
厚さ,あつさ,thickness,私は板の厚さを測った。,I measured the thickness of the board.
荒い,あらい,"wild, reckless",彼は金遣いが荒いな。,He spends money recklessly.
誓う,ちかう,"vow, swear",二人は一生を共にすることを誓ったの。,The couple swore to be together for a lifetime.
添える,そえる,"add to, attach to",贈り物に手書きのカードを添えました。,I attached a hand-written card to the gift.
無数,むすう,"countless, innumerable",宇宙には無数の星があります。,There are an infinite number of stars in space.
足音,あしおと,sound of footsteps,廊下から大きな足音が聞こえた。,Loud footsteps were heard from the hallway.
紅茶,こうちゃ,black tea,温かい紅茶が飲みたい。,I want to drink hot tea.
のんびり,のんびり,take it easy,休みの日は家でのんびり過ごします。,I spend my days off relaxing at home.
苦しむ,くるしむ,"suffer, be troubled",彼女はアレルギーに苦しんでいます。,She suffers from an allergy.
世,よ,"world, public,",やっと私の作品が世に出たの。,My work was finally released to the world.
禁止,きんし,"prohibition, forbiddance",交差点付近は駐車禁止です。,It is forbidden to park close to the intersection.
動作,どうさ,"movements, actions",彼は動作が機敏です。,His movements are quick.
とっさに,とっさに,at once,とっさに彼の名前が出てこなかった。,I couldn't remember his name momentarily.
こっそり,こっそり,"stealthily, secretly",彼女はこっそりダイエットを始めたの。,She started dieting in secret.
おまけ,おまけ,free gift,八百屋さんでたくさんおまけしてもらったよ。,I got lots of freebies at the vegetable store.
あっち,あっち,"other side, there",郵便局はあっちです。,The post office is that way.
傷付く,きずつく,"get injured, be hurt",私は彼女の言葉に傷付きました。,I was hurt by her words.
交換,こうかん,"exchange, bartering",試合の相手とユニフォームを交換したよ。,We exchanged uniforms with the opposing team at the match.
からかう,からかう,"make fun of, tease",彼は時々妹をからかいます。,He sometimes makes fun of his younger sister.
吸い込む,すいこむ,"inhale, suck in",ほこりを吸い込んじゃった。,I have inhaled some dust.
人差し指,ひとさしゆび,index finger,彼女は人差し指を怪我したの。,She injured her forefinger.
漫画,まんが,"manga, comics",妹は漫画が好きです。,My little sister likes manga.
直前,ちょくぜん,"just before, immediately prior",彼は旅行の直前に熱が出たの。,He got a fever just before going on holiday.
塗る,ぬる,"spread on, paint",壁にペンキを塗っています。,I'm painting the wall.
医者,いしゃ,doctor,私は医者に相談した。,I consulted the doctor.
不自由,ふじゆう,"inconvenience, discomfort",彼は不自由な暮らしに慣れたようだね。,It seems that he's gotten used to his restricted lifestyle.
季節,きせつ,season,私の一番好きな季節は春です。,My favorite season is spring.
室内,しつない,indoors,雨の日は子供を室内で遊ばせます。,I have the kids play indoors on rainy days.
整理,せいり,"disposition, arrangement",古い服を整理しました。,I sorted out the old clothes.
大会,たいかい,"mass meeting, tournament",夏には川辺で花火大会があります。,There are fireworks by the river in summer.
承知,しょうち,"consent, knowledge",そのことは承知しております。,I know that.
車椅子,くるまいす,wheelchair,彼女は車椅子に乗っています。,She uses a wheelchair.
汚れる,よごれる,"become dirty, become defiled",エプロンをしないと服が汚れます。,Your clothes will get dirty if you don't wear an apron.
痛む,いたむ,"feel pain, hurt",虫歯がずきずき痛みます。,I have a throbbing toothache.
隅,すみ,"nook, corner",部屋の隅にいすが積んであったの。,Chairs were piled up in the corner of the room.
ひねる,ひねる,"twist, turn",彼は水道の蛇口をひねったの。,He turned the tap.
交じる,まじる,"be mingled, be mixed",彼女は外国人に交じってダンスをしたの。,She mingled with foreigners as she danced.
昼食,ちゅうしょく,lunch,昼食に寿司を食べました。,I ate sushi for lunch.
七つ,ななつ,seven (things),この子は今年七つになります。,Our kid's turning seven this year.
せいぜい,せいぜい,at most,どんなに頑張っても、せいぜい3位くらいにしかなれないだろうな。,"No matter how hard I try, I can probably only get third place at best."
頂戴,ちょうだい,"getting, receiving",それ、ひとつ頂戴。,I'll have one of those.
昼間,ひるま,"daytime, day",昼間は仕事で忙しいです。,I'm busy with work in the daytime.
縛る,しばる,"bind, restrict",古新聞をひもで縛ったよ。,I tied up the old newspapers with string.
とっくに,とっくに,long ago,彼ならとっくに帰りましたよ。,He's already gone home.
半ば,なかば,"middle, halfway",彼は30代の半ばです。,He's in his mid-thirties.
手元,てもと,at hand,説明書は手元にありますか。,Do you have the manual at hand?
奇跡,きせき,"miracle, wonder",彼のマジックはまるで奇跡です。,His magic is like a miracle.
風景,ふうけい,"scenery, landscape",私は山の風景が好きです。,I like mountain scenery.
永遠,えいえん,eternity,平和は人類の永遠のテーマです。,Peace is an eternal issue for human beings.
器用,きよう,"skillful, clever",彼はかなり器用な人です。,He is very good with his hands.
図書館,としょかん,library,図書館で料理の本を借りた。,I borrowed a cookbook from the library.
預かる,あずかる,"receive on deposit, take charge of",荷物を預かってください。,Please take care of the luggage.
策,さく,"scheme, policy",その問題に対する策を皆で考えたの。,We all thought about measures to address the problem.
内心,ないしん,"back of one's mind, one's real intention",彼女は内心どきどきしていましたよ。,"Inside, her heart was pounding."
晩,ばん,evening (usually from sunset to bedtime),晩ご飯は食べましたか。,Have you had dinner?
復活,ふっかつ,"revival, rebirth",その選手は怪我を乗り越えて復活したわね。,The player recovered from the injury.
割れる,われる,"crack, be divided, split",コップが落ちて割れた。,The glass fell and broke.
おば,おば,aunt,おばは大阪に住んでいます。,My aunt lives in Osaka.
晴れる,はれる,"be sunny, clear up",明日は晴れるといいですね。,I hope it'll be sunny tomorrow.
力強い,ちからづよい,"powerful, vigorous",彼は力強い演技をするね。,He's a powerful actor.
真っ白,まっしろ,pure-white,外は雪で真っ白だった。,Everything outside was white with snow.
棒,ぼう,"rod, stick",この棒は何に使うのですか。,What do you use this stick for?
体重,たいじゅう,body weight,私は毎朝体重を測っています。,I weigh myself every morning.
透明,とうめい,transparent,ゴミは透明な袋に入れて出してください。,Please put the garbage out in a clear plastic bag.
旅行,りょこう,"travel, trip",彼女は旅行が好きです。,She likes traveling.
儀式,ぎしき,"ceremony, ritual",儀式には作法があります。,Ceremonies have their rules of etiquette.
疲労,ひろう,fatigue,部下が疲労で倒れたの。,My subordinate collapsed from fatigue.
測る,はかる,"measure, gauge",このドアの高さを測ってください。,Please measure the height of this door.
千,せん,thousand,千円貸してください。,Please lend me 1000 yen.
前後,ぜんご,"before and after, order",そちらに着くのは6時前後です。,I will arrive there around 6 o'clock.
いたずら,いたずら,"mischief, prank",その子はいたずらが大好きだ。,That kid loves playing tricks.
宇宙,うちゅう,"universe, space",宇宙の謎は限りなく大きいの。,The mystery of space is infinitely deep.
近付ける,ちかづける,bring close,私は顔を窓に近付けたんだ。,I brought my face close to the window.
液体,えきたい,"liquid, fluid",洗濯に液体の洗剤を使っています。,I use liquid detergent for washing clothes.
片方,かたほう,one side,片方の目がかゆいです。,One of my eyes is itchy.
曖昧,あいまい,"ambiguous, vague",彼女は曖昧な返事をしたね。,She gave a vague answer.
社会人,しゃかいじん,"member of society, working person",この春に彼は社会人になったよ。,He became a working adult this spring.
こぼれる,こぼれる,"spill, overflow",彼女の目から涙がこぼれた。,Tears rolled down from her eyes.
暴力,ぼうりょく,"violence, force",暴力はいけません。,Violence is wrong.
跡,あと,"trace, track",ここにタイヤの跡があるわ。,There is a tire imprint here.
つながり,つながり,"connection, relation",この文のつながりはおかしいです。,The flow of this sentence is strange.
反射,はんしゃ,reflection,車のライトが反射していますね。,Car lights are being reflected.
駆ける,かける,"gallop, run quickly",子供たちは広場に駆けて行ったわよ。,The children rushed into the square.
合図,あいず,"signal, sign",車掌が発車の合図をしたよ。,The conductor gave the signal to depart.
くっ付く,くっつく,"stick, cling",靴の底にガムがくっ付いてしまった。,Chewing gum got stuck to the sole of my shoe.
不幸,ふこう,"unhappiness, misfortune, bereavement",彼女の家族に不幸があった。,A misfortune befell her family.
不自然,ふしぜん,"unnatural, artificial",彼の態度はどこか不自然だったな。,His behavior was somewhat unnatural.
専門,せんもん,"specialty, profession",法律は私の専門です。,My specialty is law.
散歩,さんぽ,"walk, stroll",私のお祖父さんは毎日散歩します。,My grandfather takes a walk every day.
手間,てま,"trouble, time",これはとても手間のかかる料理です。,This is a very time-consuming dish.
順番,じゅんばん,"order, turn",これを順番通りに並べ替えて下さい。,Please rearrange these in order.
卒業,そつぎょう,graduation,私は去年、大学を卒業した。,I graduated from university last year.
姉妹,しまい,sisters,うちは3人姉妹です。,"There are three girls in my family, myself and two sisters."
連続,れんぞく,"continuation, succession",彼女の人生は苦労の連続でした。,Her life was a series of hardships.
一口,ひとくち,"mouthful, bite",彼はおまんじゅうを一口で食べたの。,He ate the sweet bun in one mouthful.
配る,くばる,"hand out, distribute, allot",会議で書類を配った。,I handed out the document at the meeting.
近寄る,ちかよる,"go near, approach",彼に近寄らないで。,Don't go near him!
実行,じっこう,"practice, execution",彼はその計画を実行した。,He executed the plan.
呼び掛ける,よびかける,"call to, appeal to",友人達に協力を呼び掛けたの。,I asked some friends for their cooperation.
緩む,ゆるむ,"slacken, be loose",彼は気が緩んでいます。,He's off-guard.
理屈,りくつ,"reason, logic",彼には理屈が通じない。,He doesn't understand logics.
いちいち,いちいち,"one by one, in detail",彼はいちいち私に指図する。,He gives me instructions on everything.
飽きる,あきる,be fed up,その子はおもちゃに飽きたようだね。,The child seems to have gotten tired of the toy.
溜める,ためる,"store, collect",お風呂に水を溜めておいてください。,Please draw the water for the bath.
叱る,しかる,"scold, tell off, reprimand",父親が子供を叱っている。,That father is scolding his children.
理性,りせい,"reason, reasoning power",人間は理性を持つ動物です。,Human beings are rational animals.
わがまま,わがまま,"selfishness, willfulness",子供のわがままを叱ったの。,I yelled at my kid for being selfish.
書き方,かきかた,"how to write, way of writing",彼はその漢字の書き方が分からない。,He doesn't know how to write that Chinese character.
きらきら,きらきら,"shining, sparkling",星がきらきら光っている。,The stars are shining brightly.
とがる,とがる,be sharp,この鉛筆はとがっていますね。,This pencil is sharp.
浅い,あさい,"shallow, superficial",この川は浅いです。,This river is shallow.
